District,N_Years,Location_Mu,Location_Mu_SE,Scale_Sigma,Scale_Sigma_SE,Shape_Xi,Shape_Xi_SE,NLLH,AIC,AD_Statistic,AD_Pvalue
Bogura,51,423.16,19.917,125.87,14.191,-0.127,0.109,323.63,653.26,0.225,0.982
Natore,51,358.98,15.299,95.84,11.169,-0.172,0.114,308.48,622.97,0.352,0.894
Pabna,51,351.04,18.261,116.41,13.528,0.069,0.099,324.96,655.93,0.142,0.999
Rajshahi,51,345.36,15.58,95.92,11.589,-0.031,0.125,312.58,631.16,0.321,0.921
